KYSE510_OESOPHAGUS
HEC1A_ENDOMETRIUM
MIAPACA2_PANCREAS
SW620_LARGE_INTESTINE
SKHEP1_LIVER
SW480_LARGE_INTESTINE
YKG1_CENTRAL_NERVOUS_SYSTEM
J82_URINARY_TRACT
KYSE30_OESOPHAGUS
NCIH2172_LUNG
G401_SOFT_TISSUE
SNU407_LARGE_INTESTINE
SNU840_OVARY
AN3CA_ENDOMETRIUM
PLCPRF5_LIVER
YAPC_PANCREAS
SCABER_URINARY_TRACT
G292CLONEA141B1_BONE
JHH4_LIVER
HS766T_PANCREAS
SW837_LARGE_INTESTINE
KURAMOCHI_OVARY
YH13_CENTRAL_NERVOUS_SYSTEM
HCC827_LUNG
NCIH2052_PLEURA
COLO679_SKIN
A704_KIDNEY
NCIH596_LUNG
KP3_PANCREAS
SKUT1_SOFT_TISSUE
42MGBA_CENTRAL_NERVOUS_SYSTEM
A375_SKIN
FTC133_THYROID
HT1080_SOFT_TISSUE
GAMG_CENTRAL_NERVOUS_SYSTEM
SNU1077_ENDOMETRIUM
JHOC5_OVARY
NCIH1299_LUNG
PANC1_PANCREAS
SNU1076_UPPER_AERODIGESTIVE_TRACT
IGR37_SKIN
JHH6_LIVER
NCIH460_LUNG
SJSA1_BONE
A2058_SKIN
NCIH1437_LUNG
ACCMESO1_PLEURA
VMCUB1_URINARY_TRACT
YD38_UPPER_AERODIGESTIVE_TRACT
BFTC909_KIDNEY
DAOY_CENTRAL_NERVOUS_SYSTEM
EFO27_OVARY
IGR1_SKIN
LI7_LIVER
OVK18_OVARY
SBC5_LUNG
GB1_CENTRAL_NERVOUS_SYSTEM
TOV112D_OVARY
KELLY_AUTONOMIC_GANGLIA
PATU8902_PANCREAS
TT2609C02_THYROID
QGP1_PANCREAS
SW1710_URINARY_TRACT
BECKER_CENTRAL_NERVOUS_SYSTEM
NCIH520_LUNG
SNU685_ENDOMETRIUM
SW1353_BONE
NCIH322_LUNG
A101D_SKIN
BHT101_THYROID
HEC1B_ENDOMETRIUM
SNU61_LARGE_INTESTINE
SNU886_LIVER
SW1573_LUNG
G402_SOFT_TISSUE
PECAPJ15_UPPER_AERODIGESTIVE_TRACT
RL952_ENDOMETRIUM
CADOES1_BONE
SNUC2A_LARGE_INTESTINE
COLO668_LUNG
LS513_LARGE_INTESTINE
RMGI_OVARY
VMRCRCW_KIDNEY
CAKI1_KIDNEY
OV7_OVARY
BEN_LUNG
MKN1_STOMACH
LCLC103H_LUNG
NCIH1573_LUNG
CORL23_LUNG
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
HCC4006_LUNG
NCIH1581_LUNG
NUGC4_STOMACH
NCIH1563_LUNG
JHUEM2_ENDOMETRIUM
JHOM1_OVARY
SKOV3_OVARY
SNU761_LIVER
SKNBE2_AUTONOMIC_GANGLIA
LUDLU1_LUNG
HCC1359_LUNG
PK1_PANCREAS
SNU466_CENTRAL_NERVOUS_SYSTEM
SKLU1_LUNG
NCIH1838_LUNG
SNU245_BILIARY_TRACT
MKN74_STOMACH
KYSE180_OESOPHAGUS
8505C_THYROID
NCIN87_STOMACH
KMRC1_KIDNEY
CALU6_LUNG
GOS3_CENTRAL_NERVOUS_SYSTEM
HUH6_LIVER
PK59_PANCREAS
TCCSUP_URINARY_TRACT
HS939T_SKIN
TOV21G_OVARY
OVTOKO_OVARY
TE1_OESOPHAGUS
RERFLCAD2_LUNG
DANG_PANCREAS
LMSU_STOMACH
MSTO211H_PLEURA
T47D_BREAST
PC3_PROSTATE
VMRCRCZ_KIDNEY
RVH421_SKIN
JHOS2_OVARY
HS852T_SKIN
HCC1806_BREAST
SKMEL30_SKIN
NCIH522_LUNG
PATU8988S_PANCREAS
MFE280_ENDOMETRIUM
SNUC4_LARGE_INTESTINE
KYSE520_OESOPHAGUS
COLO792_SKIN
SW1990_PANCREAS
NCIH1793_LUNG
HS729_SOFT_TISSUE
TE6_OESOPHAGUS
NCIH727_LUNG
PANC0203_PANCREAS
NCIH358_LUNG
HEC59_ENDOMETRIUM
HCC1419_BREAST
NCIH1792_LUNG
NCIH1048_LUNG
NCIH1568_LUNG
MESSA_SOFT_TISSUE
EFM192A_BREAST
MKN7_STOMACH
SNU423_LIVER
PK45H_PANCREAS
ZR751_BREAST
KMRC3_KIDNEY
RD_SOFT_TISSUE
CL34_LARGE_INTESTINE
NCIH2087_LUNG
NCIH1975_LUNG
NCIH1944_LUNG
253JBV_URINARY_TRACT
786O_KIDNEY
IGROV1_OVARY
LOVO_LARGE_INTESTINE
LOXIMVI_SKIN
SW48_LARGE_INTESTINE
HPAC_PANCREAS
BXPC3_PANCREAS
HUH7_LIVER
MFE296_ENDOMETRIUM
KP2_PANCREAS
FTC238_THYROID
H4_CENTRAL_NERVOUS_SYSTEM
KMBC2_URINARY_TRACT
ONS76_CENTRAL_NERVOUS_SYSTEM
PATU8988T_PANCREAS
253J_URINARY_TRACT
639V_URINARY_TRACT
CHL1_SKIN
HCT116_LARGE_INTESTINE
KYSE270_OESOPHAGUS
KU1919_URINARY_TRACT
HCT15_LARGE_INTESTINE
HT29_LARGE_INTESTINE
MCAS_OVARY
SUIT2_PANCREAS
TE8_OESOPHAGUS
CJM_SKIN
SNU398_LIVER
SNUC5_LARGE_INTESTINE
NCIH1651_LUNG
KYSE150_OESOPHAGUS
HCC78_LUNG
LK2_LUNG
SW780_URINARY_TRACT
TE4_OESOPHAGUS
RKN_SOFT_TISSUE
WM983B_SKIN
KNS62_LUNG
LN229_CENTRAL_NERVOUS_SYSTEM
A673_BONE
DU145_PROSTATE
PSN1_PANCREAS
T98G_CENTRAL_NERVOUS_SYSTEM
COLO783_SKIN
HCC1438_LUNG
HCC44_LUNG
JHH5_LIVER
NCIH838_LUNG
BFTC905_URINARY_TRACT
HEC265_ENDOMETRIUM
HSC2_UPPER_AERODIGESTIVE_TRACT
OC314_OVARY
GI1_CENTRAL_NERVOUS_SYSTEM
OC316_OVARY
OE33_OESOPHAGUS
FADU_UPPER_AERODIGESTIVE_TRACT
MG63_BONE
NB1_AUTONOMIC_GANGLIA
SF126_CENTRAL_NERVOUS_SYSTEM
SNU1066_UPPER_AERODIGESTIVE_TRACT
CAL120_BREAST
LXF289_LUNG
MEWO_SKIN
SNGM_ENDOMETRIUM
CAL27_UPPER_AERODIGESTIVE_TRACT
TT_OESOPHAGUS
ECGI10_OESOPHAGUS
JMSU1_URINARY_TRACT
CFPAC1_PANCREAS
